Open,Low,Close
19,17.540001,23.889999
25.790001,23.299999,23.83
25,20.27,21.959999
23,18.709999,19.200001
20,15.83,16.110001
16.4,14.98,15.8
16.139999,15.57,17.459999
17.58,16.549999,17.4
17.950001,17,17.049999
17.389999,16.9,18.139999
17.940001,17.76,19.84
19.940001,19,19.889999
20.700001,20.049999,20.639999
21.370001,20.92,21.91
21.85,20.049999,20.299999
20.66,19.5,20.219999
20.5,20.370001,21
21.190001,21.059999,21.290001
21.5,20.299999,20.950001
20.91,20.26,20.549999
20.549999,20.51,20.719999
20.77,20,20.35
20.200001,19.549999,19.940001
20.5,20.33,20.92
21,20.82,21.950001
21.950001,20.85,21.26
21.540001,20.049999,20.450001
20.1,19.52,19.59
19.9,19.450001,19.6
19.65,18.82,19.030001
18.690001,17.85,17.9
17.799999,17.389999,17.6
18.18,17.66,18.32
18.450001,18.26,18.780001
18.959999,18.780001,19.15
19.59,18.6,18.77
18.540001,18.33,18.790001
18.65,18.51,19.1
19.09,19,20.129999
19.25,18.950001,19.200001
19.16,18.559999,19.9
19.889999,19.6,19.75
19.75,19.5,19.700001
19.700001,19.610001,19.870001
19.66,19.33,19.48
19.620001,19.6,20.450001
20.370001,20.309999,21.059999
20.870001,20.66,21.049999
20.610001,20.5,20.540001
20.66,20.6,20.9
21,20.690001,20.709999
20.75,19.76,20.17
20.889999,20.5,20.719999
20.540001,20.530001,21.120001
20.98,20.790001,21.98
22.15,20.84,20.940001
21.02,19.799999,20.23
20.67,20.16,21.059999
20.889999,20.67,20.77
20.870001,19.799999,19.870001
19.889999,19.5,19.559999
19.950001,19.65,20.1
20.4,20.049999,20.530001
21.040001,20.76,21.4
21.190001,21.129999,21.98
22,20.190001,20.41
20.690001,20.309999,20.6
20.43,20.299999,20.99
21.15,21.01,21.120001
21.059999,20.32,20.459999
20.57,20.34,20.43
20.43,20.389999,20.43
20.440001,20.07,20.24
20.200001,20.030001,20.24
20.639999,20.360001,20.540001
21,20.4,20.75
20.889999,20.25,20.540001
20.52,20.219999,20.23
20.200001,20,20.049999
20.16,20.040001,20.65
20.610001,20.450001,20.75
20.68,20.549999,20.719999
20.940001,20.73,20.85
20.799999,20.51,21.360001
21.25,20.65,21
21.389999,20.959999,21.190001
21.139999,21.049999,21.84
21.940001,21.309999,21.41
21.68,21.049999,21.25
21.280001,21.16,21.77
22.6,22.15,24.9
24.870001,23.719999,24.440001
24.5,24.030001,24.98
25,24.049999,24.629999
24.48,24.049999,29.360001
28.6,27.33,28.040001
28.25,28.07,29.84
30.219999,30.219999,30.799999
31,28.42,29.67
30.200001,28.610001,29.49
30.67,28.92,29.889999
30.16,29.700001,30.99
31.57,31.5,33.400002
33.290001,32.189999,34.57
35.27,34.330002,35.470001
35.599998,34.75,35.32
35.41,33.330002,34.330002
33.740002,33.41,35.330002
35.869999,33.450001,34.349998
34.009998,31.200001,32.349998
32.009998,30.870001,31.49
31.35,29.559999,30.309999
30.49,30.049999,31.559999
32.48,31.52,32.369999
32.509998,31.65,32.049999
32.049999,31.129999,31.52
31.639999,30.4,30.549999
30.290001,27.76,28.530001
28.67,28.530001,29.6
30,29.65,30.809999
31.34,30.709999,31.360001
31.639999,31.26,31.700001
31.799999,31.709999,32.259998
32.25,31.700001,32.630001
31.26,29.92,30.09
28.02,25.059999,25.549999
25.85,25,26.41
27.030001,26.5,27.73
27.700001,26.379999,26.5
26.57,26.5,26.629999
26.84,25.9,26.620001
26.66,26.02,26.67
26.48,26.190001,26.83
26.83,26.809999,27.879999
28,27.9,28.24
28.17,28.049999,28.450001
28.59,26.92,26.959999
27.01,26.52,26.959999
26.959999,26.16,26.219999
26.15,25.610001,25.75
25.48,24.75,25.639999
25.27,23.75,24.030001
24.030001,22.370001,22.620001
23.120001,22.709999,23.040001
23.530001,23.23,24.49
24.65,24.02,24.68
24.709999,24.1,24.75
24.74,24.530001,24.92
24.879999,23.75,24.01
24.049999,23.5,24.1
24.309999,23.540001,23.91
24.16,23.67,23.940001
23.82,23.15,23.629999
23.440001,23.219999,23.459999
23.26,22.879999,23.07
23.780001,23,24.49
24.129999,22.790001,23.209999
23.26,22.809999,23.219999
23.25,22.940001,23.25
23.639999,23.049999,23.08
23.01,22.559999,22.84
23.1,23.07,24.73
24.629999,23.549999,23.6
23.33,22.959999,23.18
22.879999,21.780001,21.870001
22.18,21.110001,21.83
21.780001,21.5,22.530001
22.809999,22.690001,23.610001
23.74,23.5,23.889999
24.049999,23.700001,23.940001
23.82,23.73,24.02
24.48,24.059999,24.360001
24.48,23.780001,24.950001
24.93,24.700001,24.940001
24.6,24,24.66
24.66,24.27,24.719999
24.440001,23.73,24.01
23.85,23.530001,24.07
23.82,23.200001,23.25
22.200001,21.799999,22.950001
22.860001,22.690001,22.82
23.24,22.639999,22.809999
23.190001,22.51,22.959999
23.049999,22.540001,22.73
22.73,22,22.190001
22.110001,21.77,22.209999
22.139999,21.98,22.33
22.43,22.4,22.75
22.700001,22.549999,23.25
23.299999,23.209999,23.92
24.110001,23.01,23.709999
26.549999,26.5,27.75
27.450001,26.57,26.66
26.83,25.23,25.83
25.9,25.690001,26.700001
26.99,25.799999,26.49
26.85,26.450001,27.24
27.58,26.360001,26.49
26.469999,25.02,25.27
25.08,24.299999,24.65
25.129999,24.809999,24.93
24.870001,24.200001,25.139999
25.65,25.41,25.58
25.129999,24.360001,25.030001
25.26,24.65,25.16
25.700001,25.299999,25.75
25.85,25.59,26.74
26.700001,25.969999,26.389999
26.66,26.309999,26.93
26.93,26.629999,27.08
27.07,26.719999,27.66
27.690001,27.42,27.6
27.6,27.059999,27.450001
27.379999,26.5,26.870001
26.780001,25.75,26.690001
27.200001,26.17,26.440001
26.9,26.620001,27.120001
27,26.85,27.91
28.24,27.91,28.33
28.200001,26.92,27.07
27.07,26.65,27.67
28,27.299999,27.549999
27.99,26.549999,26.6
27,25.719999,25.959999
26.1,25.52,26.35
27.030001,26.6,28.200001
28.26,27.35,27.969999
27.620001,26.620001,26.82
27.02,26.6,26.719999
26.9,26.17,28.98
28.82,28.1,29.48
29.540001,28.82,29.549999
29.690001,29.549999,30.139999
30,28.379999,28.52
28.52,28.51,28.76
29.950001,29.5,30.129999
30.1,28.26,28.700001
28.940001,28.26,28.370001
28.440001,27.02,27.120001
27.43,27.1,27.620001
27.52,27.35,27.860001
28.07,27.879999,28.43
28.540001,28.52,28.6
28.440001,27.07,27.32
27.67,25.74,26.5
26.870001,26.139999,26.5
26.290001,25.5,26.01
26.24,26,27.530001
27.370001,27.1,27.209999
27.200001,26.209999,27.709999
27.639999,27.26,27.57
27.73,27.309999,27.459999
27.790001,27.67,28.110001
28.5,28.07,28.290001
28.5,28.4,29.129999
29.07,28.799999,29.02
29.02,28.709999,29.139999
29.139999,28.549999,28.959999
29.139999,29.01,29.73
29.889999,28.59,28.809999
28.4,28,28.35
28.370001,28,28.17
28.43,27.9,28.639999
28.530001,27.25,27.610001
27.790001,27.4,27.58
27.34,26.629999,27.23
27.58,27.540001,27.889999
28,27.799999,28.690001
28.91,28.1,28.700001
28.700001,28.549999,29.290001
29.01,28.440001,28.49
28.309999,27.969999,28
28.5,27.51,27.639999
27.6,27.540001,28.17
27.799999,27.5,28.17
28.67,28.209999,28.77
28.690001,27.27,27.34
27.5,26.34,27.200001
26.51,24.67,24.75
24.99,22.83,24.24
23.1,23.1,23.639999
24.15,23.700001,25.059999
25.440001,23.629999,23.82
24.040001,24,25.299999
25.6,25.360001,26.309999
26.620001,25.93,26.23
26.129999,25.83,26.1
26.389999,25.51,25.83
25,23.469999,24.26
23.860001,22,22.299999
23.110001,21.68,21.950001
21.93,21.5,22.959999
23.1,22.83,23.870001
23.870001,22.9,23.110001
22.709999,22.07,23.73
24.219999,24.02,24.709999
24.5,24.09,24.629999
24.799999,24.280001,24.74
24.66,23.84,24
23.66,22.68,23.07
22.5,22.290001,22.940001
23.389999,23.280001,23.84
23.58,23.280001,23.610001
23.370001,22.549999,22.969999
22.5,22.450001,22.879999
23.01,22.75,24.08
24.25,23.790001,24.34
24.58,24.33,24.82
24.780001,24.49,25.799999
24.950001,23.82,25.77
25.98,25.67,26.01
25.950001,25.700001,25.85
25.639999,24.879999,25.629999
25.49,25.35,26.379999
26.52,24.9,25.52
26,25.57,26.190001
26,24.51,24.59
25.719999,23.549999,24.120001
24.799999,23.49,24.389999
24.950001,23.25,23.73
23.290001,22.93,23.66
24.030001,23.35,25.370001
25.370001,25.02,26.959999
26.98,26.049999,26.99
27.309999,27,27.879999
27.51,27.09,27.610001
27.25,27.200001,27.799999
27.629999,27.440001,27.940001
28,27.26,28.049999
27.860001,27.26,27.42
27.299999,26.709999,28.34
28.02,27.299999,27.57
27.440001,27,27.34
27.4,27.01,28.030001
27.870001,27.75,28.549999
28.23,27.799999,28.25
28.190001,27.4,27.98
28.34,28.110001,28.76
28.5,28.01,29.870001
29.5,28.75,29.370001
28.389999,28,28.879999
29,28.25,28.709999
30,29.530001,32.459999
31.459999,30.51,32.310001
31.639999,30.75,31.27
31.370001,30.719999,31.84
30.870001,30.299999,30.879999
30.940001,30.65,31.33
31.9,30.57,33.639999
33,32.619999,33.220001
32.919998,32.73,33.93
33.48,33.400002,34.939999
34.5,33.189999,33.68
33.639999,32.540001,32.599998
32.439999,31.049999,31.76
31.76,31.049999,32.07
31.76,31.25,31.450001
31.549999,31.08,31.66
32,31.809999,32.560001
32.490002,31.629999,31.75
32.5,32.220001,32.740002
32.57,31.98,32.599998
32.830002,32.400002,33.299999
33.529999,33.43,34.419998
34.200001,34.029999,34.869999
34.630001,33.799999,34.189999
30.84,29.610001,30.889999
30.540001,30.280001,31.040001
30.440001,30.02,30.41
30.57,28.91,29.450001
29.5,28,28.530001
28.67,28.120001,28.620001
28.790001,27.98,28
28.09,27.370001,27.75
28.049999,27.719999,27.9
27.91,26.030001,27.57
27.6,27.299999,27.77
28,27.52,27.9
27.66,27.639999,28.57
28.99,28.040001,28.51
28.59,28.549999,28.73
28.49,28.25,28.559999
28.940001,27.65,28.08
28.209999,27.5,27.709999
27.76,26.85,27.120001
27.200001,26.41,26.91
27,26.120001,27.25
27.440001,27.25,27.620001
27.620001,27.299999,28.23
28.48,27.809999,28.25
28.4,22.639999,22.790001
26.620001,26.41,26.6
26.690001,26.25,26.809999
27.190001,26.610001,26.76
26.9,26.4,26.6
26.809999,26.6,26.77
26.629999,26.440001,27.42
27.27,27.049999,27.969999
28.07,28,28.940001
28.5,28.5,29.33
29.49,28.530001,29.57
29.9,28.870001,29.07
29.07,29,29.58
29.719999,29.610001,30.25
30.41,30.25,31.15
31.1,31.049999,31.799999
31.799999,30.82,31.6
31.6,31.290001,31.93
32,31.43,32.580002
32.259998,29.84,31.1
31.549999,30.9,31.49
31.74,31.4,33.169998
33.099998,32.27,33.599998
33.5,32.540001,34.18
33.990002,33.5,34.970001
34.869999,33.810001,34.5
34.5,32.5,34.220001
33.990002,33.560001,34.529999
34.23,33.27,33.75
33.41,33,33.619999
33.639999,33.169998,33.810001
33.810001,33.139999,33.41
33.509998,33.310001,34.41
34.400002,33.709999,34.040001
34.349998,33.459999,33.77
33.25,32.619999,33.110001
33.119999,32.91,33.119999
33.110001,33.040001,33.07
33.200001,33.200001,34.740002
34.689999,34.599998,36.009998
36.509998,35.5,36.09
36,34.799999,35.290001
35.279999,34.779999,35
34.900002,34.830002,35.32
35.259998,34.540001,34.98
34.98,34.57,34.959999
34.939999,34.599998,35.150002
34.970001,34.299999,34.400002
34.259998,33.150002,34.080002
35.59,35.040001,37.400002
37.16,37.029999,37.939999
37.779999,37.110001,37.849998
38.189999,37.029999,37.330002
37.52,36.68,37.240002
37.330002,36.529999,36.580002
36.700001,36.669998,38.009998
35.27,34.689999,35
35.099998,34.41,34.48
34.099998,33.099998,33.150002
33.150002,32.099998,32.459999
33.240002,32.009998,33.09
33.77,32.919998,33.439999
33.939999,32.849998,33.59
33.41,32.09,32.25
32.43,32.040001,32.240002
32.09,31.530001,32.66
32.75,32.5,33.16
33.139999,32.939999,33.16
32.860001,31.709999,31.940001
31.82,31,31.82
32.07,32.07,32.91
32.959999,32.91,33.490002
33.599998,32.91,33.34
33.27,32.580002,33.130001
33.130001,33.130001,33.779999
33.5,33.389999,33.939999
33.91,32.130001,32.459999
32.32,31.4,31.83
31.959999,31.610001,32.470001
32.5,29.370001,30.190001
30.299999,29.76,30.059999
32.970001,32.400002,32.959999
32.490002,32.16,32.25
31.92,30.049999,30.059999
30.26,29.219999,29.43
29.58,28.879999,29.18
29.299999,28.24,28.57
28.370001,26.83,27.559999
27.58,27.120001,28.77
30.1,30,30.799999
30.559999,29.5,31.02
31.25,29.690001,30.280001
30.16,29.200001,29.809999
30.01,30.01,31.690001
31.08,30.24,30.41
30.07,28.75,29.5
28.530001,27.76,28.15
28.030001,27.110001,27.879999
27.84,27.559999,27.91
28.200001,28.139999,29.219999
29.809999,28.85,28.93
28.860001,28.15,30.08
30.309999,28.959999,29.120001
29.23,28.809999,29.66
29.549999,29.469999,29.77
30.18,28.620001,29.389999
29.389999,28.809999,29.91
29.940001,29.5,31.84
32.02,31.5,32.09
33.5,33.209999,33.779999
34.259998,31.84,32.189999
32.599998,32.459999,33.790001
33.939999,32.75,33.110001
32.049999,31.389999,31.610001
31.9,31.57,31.959999
31.9,30.620001,31.41
32.799999,31,31.290001
31.35,30.190001,30.4
30.6,30.4,30.66
30.809999,30.799999,31.23
30.99,30.799999,30.99
30.940001,30.67,31.49
31.540001,30.889999,31.27
31.57,31.01,31.51
31.290001,30.799999,32.700001
32.970001,32.830002,34.25
34.32,33.900002,35.959999
35,32.380001,33.349998
31.42,31.059999,32.150002
32.720001,32.040001,32.27
32.07,31.25,31.790001
31.049999,30.620001,30.66
30.66,29.620001,29.84
29.92,28.75,28.950001
29.9,27.639999,28.129999
28.709999,28.1,29.51
29.51,27.209999,27.35
27.540001,27.35,27.42
27.99,26.030001,26.25
26.84,25.52,26.1
26.9,26.74,27.27
27.549999,27.549999,28.27
28.77,28.5,30.25
29.9,28.59,29.09
29.52,29.129999,29.41
29.309999,29.309999,29.940001
29.690001,29.1,31.17
30.75,29.26,29.42
29.389999,28.809999,29.4
29.530001,29.5,30.299999
30.290001,29.98,30.01
30.15,29.1,29.51
29.58,29,29.110001
29.01,29.01,29.950001
30,29.65,30.73
30.059999,29.41,29.5
29.57,28.17,28.32
28.4,28,28.690001
28.49,28.02,28.41
28.6,28.1,28.41
28.610001,28.200001,28.52
28.52,27.9,28.139999
28.01,27.809999,27.940001
28,27.9,28.549999
28.549999,28.5,29.35
29.200001,27.299999,27.370001
27.76,27.4,27.799999
27.9,27.799999,28.280001
28.57,28.48,29.48
30,29.65,30.389999
32.349998,31.51,32.540001
31.879999,30.68,31.34
31,30.940001,31.049999
30.93,30.68,30.9
31.1,29.540001,30.02
29.51,29.4,30.66
28.620001,27.530001,27.66
27.66,27.48,27.540001
27.82,27.6,28.49
28.73,28.610001,29.280001
29.5,29,29.16
29.280001,29,29.799999
29.75,29.24,29.299999
30,28.65,29.4
29.700001,28.68,28.889999
28.860001,28.610001,29.25
29.120001,28.25,28.370001
28.389999,28.01,28.4
28.940001,28.25,28.32
28.32,27.5,27.639999
28.02,26.860001,27.33
27.67,27.34,28.059999
28.25,27.799999,28.82
28.99,27.780001,28.040001
27.83,27.299999,27.74
27.99,27.360001,27.85
27.379999,27.370001,28.389999
28.52,27.25,27.42
27.799999,27.450001,27.52
27.530001,27.02,27.379999
27.700001,27.370001,28.129999
28.25,28.200001,29.25
29.27,28.549999,28.92
29.799999,29.33,31.5
30.610001,29.950001,31.15
31,30.809999,31.540001
31.01,30.940001,31.309999
30.6,29.85,30.32
30.290001,30.16,31.07
31.290001,30.719999,31.610001
31.959999,31.200001,31.379999
31.299999,30.5,30.82
31.15,30.59,31.84
32.07,31.84,32.919998
32.799999,31.91,33
32.610001,32.290001,32.470001
32.599998,31.700001,32.130001
32.099998,31.620001,32.27
32.130001,31.52,32.150002
32,31.91,33.23
33.439999,32.869999,33.689999
33.630001,33.009998,33.82
33.889999,33.5,34.619999
34.080002,33.549999,33.900002
33.82,33.580002,33.709999
33.82,33.5,33.900002
34.299999,33.849998,34.169998
34.43,34.18,34.57
